shirt,position,givenName,familyName,country,dateOfBirth
1,Goalkeeper,Alphonse,Areola,France,1993-02-27
12,Goalkeeper,Marek,Rodák,Slovakia,1996-12-13
31,Goalkeeper,Fabrico,Agosto Ramirez,Spain,1987-12-31
2,Defender,Kenny,Tete,Netherlands,1995-10-09
3,Defender,Michael,Hector,Jamaca,1992-07-19
4,Defender,Denis,Odoi,Belgium,1988-05-27
5,Defender,Joachim,Anderson,Denmark,1996-05-31
13,Defender,Tim,Ream,USA,1987-10-05
16,Defender,Tosin,Abarabioyo,England,1997-09-24
23,Defender,Joe,Bryan,England,1993-09-17
30,Defender,Terence,Kongolo,France,1994-02-14
33,Defender,Antonee,Robinson,USA,1997-08-08
34,Defender,Ola,Aina,Nigeria,1996-10-08
6,Midfielder,Kevin,McDonald,Scotland,1988-11-04
10,Midfielder,Tom,Cairney,Scotland,1991-01-20
15,Midfielder,Ruben,Loftus-Cheek,England,1996-01-23
18,Midfielder,Mario,Lemina,Gabon,1993-09-01
21,Midfielder,Harrison,Reed,England,1995-01-27
25,Midfielder,Josh,Onomah,England,1997-04-27
29,Midfielder,Andre-Frank,Zambo Anguissa,Cameroon,1995-11-16
48,Midfielder,Fabio,Carvalho,England,2002-08-30
9,Forward,Aleksander,Mitrovic,Serbia,1994-09-16
14,Forward,Bobby,De Cordova-Reid,Jamaca,1993-02-02
17,Forward,Ivan,Cavaleiro,Portugal,1993-10-18
19,Forward,Ademola,Lookman,England,1997-10-20
27,Forward,Josh,Maja,Nigeria,1998-12-27
